Timestamp,Emotion
2025-08-30 12:51:02,Angry
2025-08-30 12:51:02,Sad
2025-08-30 12:51:02,Neutral
2025-08-30 12:51:02,Neutral
2025-08-30 12:51:03,Happy
2025-08-30 12:51:03,Happy
2025-08-30 12:51:03,Happy
2025-08-30 12:51:03,Sad
2025-08-30 12:51:03,Happy
2025-08-30 12:51:03,Sad
2025-08-30 12:51:04,Sad
2025-08-30 12:51:04,Sad
2025-08-30 12:51:04,Sad
2025-08-30 12:51:04,Angry
2025-08-30 12:51:06,Angry
2025-08-30 12:51:06,Sad
2025-08-30 12:51:06,Angry
2025-08-30 12:51:06,Sad
2025-08-30 12:51:06,Sad
2025-08-30 12:51:07,Sad
2025-08-30 12:51:07,Sad
2025-08-30 12:51:07,Angry
2025-08-30 12:51:07,Sad
2025-08-30 12:51:07,Sad
2025-08-30 12:51:11,Sad
2025-08-30 12:51:11,Angry
2025-08-30 12:51:11,Sad
2025-08-30 12:51:12,Angry
2025-08-30 12:51:12,Angry
2025-08-30 12:51:12,Sad
2025-08-30 12:51:12,Sad
2025-08-30 12:51:12,Angry
2025-08-30 12:51:12,Angry
2025-08-30 12:51:12,Angry
2025-08-30 12:51:13,Angry
2025-08-30 12:51:13,Sad
2025-08-30 12:51:13,Angry
2025-08-30 12:51:13,Angry
2025-08-30 12:51:13,Angry
2025-08-30 12:51:14,Sad
2025-08-30 12:51:14,Angry
2025-08-30 12:51:14,Sad
2025-08-30 12:51:14,Sad
2025-08-30 12:51:14,Angry
2025-08-30 12:51:14,Sad
2025-08-30 12:51:15,Sad
2025-08-30 12:51:15,Sad
2025-08-30 12:51:16,Sad
2025-08-30 12:51:16,Sad
2025-08-30 12:51:16,Sad
2025-08-30 12:51:17,Sad
2025-08-30 12:51:17,Sad
2025-08-30 12:51:17,Angry
2025-08-30 12:51:17,Angry
2025-08-30 12:51:17,Neutral
2025-08-30 12:51:18,Neutral
2025-08-30 12:51:18,Sad
2025-08-30 12:51:18,Sad
2025-08-30 12:51:29,Sad
2025-08-30 12:51:30,Sad
2025-08-30 12:51:30,Sad
2025-08-30 12:51:30,Sad
2025-08-30 12:51:30,Sad
2025-08-30 12:51:30,Sad
2025-08-30 12:51:31,Sad
2025-08-30 12:51:31,Sad
2025-08-30 12:51:31,Sad
2025-08-30 12:51:35,Sad
2025-08-30 12:51:35,Neutral
2025-08-30 12:51:35,Fear
2025-08-30 12:51:35,Sad
2025-08-30 12:51:36,Fear
2025-08-30 12:51:36,Fear
2025-08-30 12:51:36,Fear
2025-08-30 12:51:36,Fear
2025-08-30 12:51:36,Fear
2025-08-30 12:51:36,Neutral
2025-08-30 12:51:37,Neutral
2025-08-30 12:51:37,Fear
2025-08-30 12:51:37,Neutral
2025-08-30 12:51:37,Neutral
2025-08-30 12:51:37,Fear
2025-08-30 12:51:37,Fear
2025-08-30 12:51:38,Fear
2025-08-30 12:51:38,Neutral
2025-08-30 12:51:38,Neutral
2025-08-30 12:51:38,Neutral
2025-08-30 12:51:39,Fear
2025-08-30 12:51:39,Fear
2025-08-30 12:51:39,Fear
2025-08-30 12:51:39,Neutral
2025-08-30 12:51:39,Neutral
2025-08-30 12:51:39,Neutral
2025-08-30 12:51:40,Fear
2025-08-30 12:51:40,Fear
2025-08-30 12:51:40,Fear
2025-08-30 12:51:40,Fear
2025-08-30 12:51:40,Fear
2025-08-30 12:51:41,Fear
2025-08-30 12:51:41,Fear
2025-08-30 12:51:41,Fear
2025-08-30 12:51:41,Angry
2025-08-30 12:51:41,Fear
2025-08-30 12:51:42,Fear
2025-08-30 12:51:42,Fear
2025-08-30 12:51:42,Angry
2025-08-30 12:51:42,Angry
2025-08-30 12:51:42,Fear
2025-08-30 12:51:42,Neutral
2025-08-30 12:51:43,Neutral
2025-08-30 12:51:43,Neutral
2025-08-30 12:51:43,Neutral
2025-08-30 12:51:43,Neutral
2025-08-30 12:51:43,Neutral
2025-08-30 12:51:43,Neutral
2025-08-30 12:51:44,Neutral
2025-08-30 12:51:44,Neutral
2025-08-30 12:51:44,Surprise
2025-08-30 12:51:44,Fear
2025-08-30 12:51:45,Neutral
2025-08-30 12:51:45,Surprise
2025-08-30 12:51:45,Surprise
2025-08-30 12:51:45,Surprise
2025-08-30 12:51:46,Surprise
2025-08-30 12:51:47,Surprise
2025-08-30 12:51:47,Surprise
2025-08-30 12:51:47,Surprise
2025-08-30 12:51:47,Surprise
2025-08-30 12:51:48,Surprise
